st,city,population,violent_crime,property_crime,burglary,larceny_theft,motor_vehicle_theft
Iowa,Webster City,7725,29,130,38,88,4
Iowa,West Burlington,3062,18,287,25,255,7
Iowa,West Des Moines,65006,129,1418,170,1188,60
Iowa,West Liberty,3728,7,22,7,14,1
Iowa,Williamsburg,3203,0,25,2,21,2
Iowa,Wilton,2796,3,8,1,5,2
Iowa,Windsor Heights,4877,7,169,14,152,3
Iowa,Winterset,5126,7,81,19,59,3
Kansas,Abilene,6524,11,143,32,104,7
Kansas,Andale,993,0,0,0,0,0
Kansas,Andover,12685,20,163,21,137,5
Kansas,Anthony,2226,9,47,14,30,3
Kansas,Argonia,488,1,3,1,2,0
Kansas,Arkansas City,12157,59,403,85,295,23
Kansas,Arma,1459,4,49,6,42,1
Kansas,Assaria,412,0,0,0,0,0
Kansas,Atchison,10716,32,336,67,257,12
Kansas,Atwood,1231,3,15,3,11,1
Kansas,Auburn,1214,0,0,0,0,0
Kansas,Augusta,9234,16,258,45,201,12
Kansas,Basehor,5239,6,97,9,79,9
Kansas,Baxter Springs,4035,13,77,23,53,1
Kansas,Bel Aire,7416,9,65,17,46,2
Kansas,Belleville,1901,2,18,6,11,1
Kansas,Beloit,3784,5,27,12,15,0
Kansas,Benton,870,3,15,5,8,2
Kansas,Bonner Springs,7601,25,222,36,168,18
Kansas,Bucklin,804,0,0,0,0,0
Kansas,Burden,536,1,3,1,1,1
Kansas,Burlington,2626,3,57,14,42,1
Kansas,Burns,221,0,3,2,0,1
Kansas,Bushton,276,0,0,0,0,0
Kansas,Chanute,9341,41,,,175,16
Kansas,Cheney,2166,1,45,4,39,2
Kansas,Chetopa,1083,4,14,1,13,0
Kansas,Clay Center,4136,16,109,36,66,7
Kansas,Clearwater,2542,0,57,17,37,3
Kansas,Coffeyville,9782,61,,,404,17
Kansas,Colby,5381,31,90,16,66,8
Kansas,Columbus,3157,15,74,15,54,5
Kansas,Concordia,5290,34,133,37,93,3
Kansas,Council Grove,2087,3,24,4,20,0
Kansas,Derby,23430,29,618,77,510,31
Kansas,Dodge City,28271,91,784,146,608,30
Kansas,Edwardsville,4383,14,105,16,79,10
Kansas,El Dorado,12843,49,,,235,37
Kansas,Elkhart,2092,6,13,7,6,0
Kansas,Ellsworth,3064,7,35,6,26,3
Kansas,Elwood,1199,5,13,2,9,2
Kansas,Emporia,24479,36,496,61,429,6
Kansas,Fairway,3990,1,40,7,31,2
Kansas,Fort Scott,7822,50,394,104,271,19
Kansas,Frankfort,708,0,1,0,1,0
Kansas,Fredonia,2346,6,66,12,51,3
Kansas,Frontenac,3445,4,43,15,25,3
Kansas,Galena,2938,7,79,21,46,12
Kansas,Garden City,27059,128,791,92,669,30
Kansas,Garnett,3266,7,83,22,59,2
Kansas,Girard,2768,5,46,14,30,2
Kansas,Goddard,4764,7,62,8,46,8
Kansas,Grandview Plaza,1664,7,37,12,23,2
Kansas,Great Bend,15800,75,673,157,477,39
Kansas,Greensburg,776,0,9,0,9,0
Kansas,Halstead,2083,4,25,9,16,0
Kansas,Haven,1221,4,13,5,6,2
Kansas,Hays,21173,87,494,43,437,14
Kansas,Haysville,11181,47,312,65,226,21
Kansas,Herington,2385,4,58,13,37,8
Kansas,Hesston,3741,4,59,13,40,6
Kansas,Hiawatha,3093,5,,,89,6
Kansas,Highland,1016,0,8,1,7,0
Kansas,Hillsboro,2868,8,18,5,11,2
Kansas,Holcomb,2125,0,13,1,12,0
Kansas,Holton,3312,10,47,15,32,0
Kansas,Holyrood,434,0,0,0,0,0
Kansas,Horton,1721,8,51,17,32,2
Kansas,Hugoton,3977,4,8,2,6,0
Kansas,Hutchinson,41499,255,1813,259,1441,113
Kansas,Iola,5515,26,298,53,229,16
Kansas,Junction City,24879,180,512,89,405,18
Kansas,Kansas City,150370,1163,7054,1311,4754,989
Kansas,Kingman,3075,8,88,38,44,6
Kansas,Lansing,11815,32,128,27,90,11
Kansas,Larned,4013,22,108,35,71,2
Kansas,Leavenworth,36154,242,1154,255,803,96
Kansas,Leawood,35047,24,422,55,339,28
Kansas,Lebo,909,0,3,1,2,0
Kansas,Lenexa,51760,74,889,97,679,113
Kansas,Liberal,21128,87,538,78,433,27
Kansas,Lindsborg,3434,4,61,16,44,1
Kansas,Little River,547,0,1,0,1,0
Kansas,Louisburg,4321,2,52,12,37,3
Kansas,Maize,4236,10,64,11,49,4
Kansas,Marysville,3296,5,63,8,50,5
Kansas,McLouth,848,2,18,4,13,1
Kansas,McPherson,13202,18,503,168,319,16
Kansas,Merriam,11352,44,605,77,417,111
Kansas,Minneapolis,2028,3,51,17,30,4
Kansas,Mission,9544,42,487,53,384,50
Kansas,Mission Hills,3621,1,31,8,19,4
Kansas,Moran,522,0,0,0,0,0
Kansas,Mulvane,6325,5,158,16,135,7
Kansas,Neodesha,2380,3,43,8,34,1
Kansas,Newton,19103,90,673,134,518,21
Kansas,North Newton,1794,2,11,1,10,0
Kansas,Oakley,2080,0,14,1,13,0
Kansas,Oberlin,1741,0,12,2,8,2
Kansas,Olathe,134830,177,2099,190,1710,199
Kansas,Osage City,2842,6,75,15,56,4
Kansas,Osawatomie,4334,10,131,51,73,7
Kansas,Oskaloosa,1080,0,26,10,15,1
Kansas,Ottawa,12341,26,236,41,178,17
Kansas,Overland Park,187240,399,3447,505,2422,520
Kansas,Paola,5587,12,129,22,96,11
Kansas,Park City,7606,23,160,28,119,13
Kansas,Parsons,10102,56,455,128,305,22
Kansas,Prairie Village,21980,7,226,41,160,25
Kansas,Pratt,6997,12,241,63,173,5
Kansas,Rose Hill,3966,2,59,13,46,0
Kansas,Rossville,1136,1,3,1,2,0
Kansas,Russell,4477,15,57,23,32,2
Kansas,Sabetha,2564,3,31,5,24,2
Kansas,Salina,47874,187,1763,258,1408,97
Kansas,Scott City,3954,8,67,21,43,3
Kansas,Shawnee,65182,122,1237,163,917,157
Kansas,South Hutchinson,2565,7,63,13,48,2
Kansas,St. Marys,2672,4,15,3,12,0
Kansas,Tonganoxie,5236,4,75,14,58,3
Kansas,Topeka,127096,720,6601,1176,4876,549
Kansas,Ulysses,6157,4,85,25,53,7
Kansas,Valley Center,7113,9,71,14,56,1
Kansas,Victoria,1228,0,3,1,2,0
Kansas,Wa Keeney,1783,2,10,3,7,0
Kansas,Wamego,4622,9,39,10,29,0
Kansas,Wathena,1347,10,33,8,18,7
Kansas,Wellington,7888,23,277,64,199,14
Kansas,Wellsville,1813,0,18,2,15,1
Kansas,Westwood,2089,3,75,10,62,3
Kansas,Wichita,389824,3839,19652,3480,14127,2045
Kansas,Winchester,532,0,3,0,2,1
Kansas,Winfield,12235,18,449,71,364,14
Kansas,Yates Center,1335,9,15,9,5,1
Kentucky,Adairville,888,0,9,8,1,0
Kentucky,Albany,2005,0,6,3,3,0
Kentucky,Alexandria,8860,11,178,20,154,4
Kentucky,Anchorage,2422,0,27,10,17,0
Kentucky,Ashland,21232,47,1022,146,851,25
Kentucky,Auburn,1347,0,19,4,15,0
Kentucky,Audubon Park,1509,1,42,12,23,7
Kentucky,Augusta,1170,0,23,2,19,2
Kentucky,Barbourville,3147,6,45,12,31,2
Kentucky,Bardstown,13087,40,399,89,294,16
Kentucky,Bardwell,705,0,0,0,0,0
Kentucky,Beattyville,1245,0,13,6,0,7
Kentucky,Beaver Dam,3549,0,40,3,36,1
Kentucky,Bellefonte,867,0,0,0,0,0
Kentucky,Bellevue,5909,7,154,30,117,7
Kentucky,Benham,474,0,0,0,0,0
Kentucky,Benton,4309,0,154,38,114,2
Kentucky,Berea,14894,14,320,117,186,17
Kentucky,Bloomfield,1050,1,8,6,2,0
Kentucky,Bowling Green,63346,225,3137,488,2486,163
Kentucky,Brandenburg,2979,1,20,6,12,2
Kentucky,Brownsville,824,0,7,2,4,1
Kentucky,Burkesville,1507,1,5,2,2,1
Kentucky,Burnside,831,2,30,4,26,0
Kentucky,Cadiz,2632,0,78,8,67,3
Kentucky,Calvert City,2481,3,13,4,8,1
Kentucky,Campbellsville,11380,35,476,124,342,10
Kentucky,Carlisle,1974,1,25,4,19,2
Kentucky,Carrollton,3930,10,76,26,46,4
Kentucky,Catlettsburg,1818,10,45,10,35,0
Kentucky,Cave City,2308,4,37,10,23,4
Kentucky,Centertown,441,0,1,0,1,0
Kentucky,Central City,5879,3,83,8,68,7
Kentucky,Clarkson,899,0,0,0,0,0
Kentucky,Clay,1140,0,0,0,0,0
Kentucky,Clay City,1059,1,20,8,12,0
Kentucky,Clinton,1339,0,19,6,11,2
Kentucky,Cloverport,1146,0,1,0,1,0
Kentucky,Coal Run Village,1615,1,42,4,38,0
Kentucky,Cold Spring,6215,7,123,15,105,3
Kentucky,Columbia,4928,2,44,18,25,1
Kentucky,Corbin,7305,13,199,41,144,14
Kentucky,Covington,41056,175,1496,345,1013,138
Kentucky,Cumberland,2118,0,5,2,3,0
Kentucky,Cynthiana,6348,9,115,18,91,6
Kentucky,Danville,16703,36,314,85,222,7
Kentucky,Dawson Springs,2740,5,77,16,57,4
Kentucky,Dayton,5446,10,206,72,120,14
Kentucky,Dry Ridge,2221,2,48,2,44,2
Kentucky,Eddyville,2623,0,38,7,30,1
Kentucky,Edgewood,8775,3,81,11,62,8
Kentucky,Edmonton,1576,0,7,2,4,1
Kentucky,Elizabethtown,30241,48,883,147,716,20
Kentucky,Elkton,2177,0,44,7,37,0
Kentucky,Elsmere,8534,15,171,45,121,5
Kentucky,Eminence,2534,2,41,12,27,2
Kentucky,Erlanger,22774,37,366,48,295,23
Kentucky,Evarts,929,1,5,2,3,0
Kentucky,Falmouth,2113,2,27,6,17,4
Kentucky,Ferguson,937,0,4,0,3,1
Kentucky,Flatwoods,7380,0,19,8,10,1
Kentucky,Fleming-Neon,726,0,0,0,0,0
Kentucky,Flemingsburg,2709,0,28,8,18,2
Kentucky,Florence,32357,70,1516,130,1326,60
Kentucky,Fort Mitchell,8292,5,83,12,64,7
Kentucky,Fort Thomas,16358,3,125,24,95,6
Kentucky,Fort Wright,5780,5,142,30,107,5
Kentucky,Frankfort,27603,93,1131,246,824,61
Kentucky,Franklin,8755,15,338,63,267,8
Kentucky,Fulton,2198,9,88,10,77,1
Kentucky,Gamaliel,365,0,0,0,0,0
Kentucky,Georgetown,32273,55,947,132,760,55
Kentucky,Glasgow,14413,26,449,70,354,25
Kentucky,Graymoor-Devondale,2953,2,30,10,16,4
Kentucky,Grayson,4089,2,66,19,43,4
Kentucky,Greensburg,2123,3,52,7,42,3
Kentucky,Greenup,1159,0,4,0,1,3
Kentucky,Greenville,4382,4,20,4,11,5
Kentucky,Guthrie,1444,0,15,1,13,1
Kentucky,Hardinsburg,2314,0,11,6,4,1
Kentucky,Harlan,1649,4,39,9,27,3
Kentucky,Harrodsburg,8360,10,231,58,168,5
Kentucky,Hartford,2701,1,5,3,2,0
Kentucky,Hawesville,1017,0,6,1,5,0
Kentucky,Hazard,5308,21,290,45,236,9
Kentucky,Henderson,28928,89,766,159,559,48
Kentucky,Heritage Creek,1119,0,17,9,6,2
Kentucky,Highland Heights,7214,2,67,14,49,4
Kentucky,Hillview,8103,15,148,37,96,15
Kentucky,Hodgenville,3242,3,16,0,13,3
Kentucky,Hopkinsville,32756,97,1064,236,785,43
Kentucky,Horse Cave,2372,0,0,0,0,0
Kentucky,Hurstbourne Acres,1875,0,13,2,10,1
Kentucky,Independence,26773,11,193,40,144,9
Kentucky,Indian Hills,2965,0,37,16,16,5
Kentucky,Inez,690,0,0,0,0,0
Kentucky,Irvine,2421,0,3,1,1,1
Kentucky,Irvington,1179,1,1,0,1,0
Kentucky,Jackson,2123,3,24,9,12,3
Kentucky,Jamestown,1820,1,10,5,4,1
Kentucky,Jeffersontown,27027,49,643,132,455,56
Kentucky,Jenkins,2068,0,0,0,0,0
Kentucky,Junction City,2231,0,0,0,0,0
Kentucky,La Grange,8625,13,152,24,120,8
Kentucky,Lakeside Park-Crestview Hills,6119,5,104,10,89,5
Kentucky,Lancaster,3757,6,90,28,56,6
Kentucky,Lawrenceburg,11135,3,92,22,60,10
Kentucky,Lebanon,5639,16,89,32,52,5
Kentucky,Lebanon Junction,1919,2,18,5,13,0
Kentucky,Leitchfield,6911,15,171,42,119,10
Kentucky,Lewisburg,806,0,4,1,2,1
Kentucky,Lewisport,1719,0,3,0,2,1
Kentucky,Lexington,314077,1044,12405,2505,8901,999
Kentucky,Liberty,2174,0,6,4,0,2
Kentucky,London,8158,13,334,43,260,31
Kentucky,Louisa,2462,2,43,13,25,5
Kentucky,Louisville Metro,680550,4300,28352,6277,18850,3225
Kentucky,Loyall,660,0,2,2,0,0
Kentucky,Ludlow,4545,12,155,42,102,11
Kentucky,Lynch,714,0,1,0,1,0
Kentucky,Lynnview,943,2,8,0,8,0
Kentucky,Madisonville,19549,31,386,106,256,24
Kentucky,Manchester,1397,3,27,6,17,4
Kentucky,Marion,2994,4,65,23,38,4
Kentucky,Martin,604,3,5,0,5,0
Kentucky,Mayfield,10141,24,283,67,206,10
Kentucky,Maysville,8809,17,288,54,225,9
Kentucky,McKee,783,0,1,1,0,0
Kentucky,Meadow Vale,758,0,2,0,2,0
Kentucky,Middlesboro,9792,19,547,37,491,19
Kentucky,Millersburg,790,0,7,4,3,0
Kentucky,Monticello,6072,7,123,58,54,11
Kentucky,Morehead,7012,5,182,22,156,4
Kentucky,Morganfield,3608,5,33,8,23,2
Kentucky,Morgantown,2471,4,53,15,31,7
Kentucky,Mortons Gap,852,0,1,1,0,0
Kentucky,Mount Sterling,7247,16,362,47,302,13
Kentucky,Mount Vernon,2475,4,26,11,13,2
Kentucky,Mount Washington,12376,8,138,35,94,9
Kentucky,Muldraugh,1061,3,12,0,8,4
Kentucky,Munfordville,1660,5,17,7,7,3
Kentucky,Murray,18810,31,611,113,475,23
Kentucky,New Haven,888,0,3,1,1,1
Kentucky,Newport,15413,52,856,134,679,43
Kentucky,Nicholasville,29351,47,1036,193,802,41
Kentucky,Northfield,1051,0,14,3,10,1
Kentucky,Nortonville,1191,0,0,0,0,0
Kentucky,Oak Grove,7515,16,259,75,170,14
Kentucky,Olive Hill,1603,0,13,7,5,1
Kentucky,Owensboro,58608,130,2178,319,1749,110
Kentucky,Owenton,1511,1,12,3,9,0
Kentucky,Owingsville,1597,1,7,2,4,1
Kentucky,Paducah,24968,77,1439,155,1232,52
Kentucky,Paintsville,4263,6,95,19,71,5
Kentucky,Paris,9747,16,187,47,130,10
Kentucky,Park Hills,3000,4,33,9,19,5
Kentucky,Pembroke,895,0,7,2,5,0
Kentucky,Perryville,761,0,0,0,0,0
Kentucky,Pewee Valley,1540,0,2,2,0,0
Kentucky,Pikeville,7373,12,455,50,398,7
Kentucky,Pineville,1776,1,19,5,13,1
Kentucky,Pioneer Village,2835,0,11,4,6,1
Kentucky,Powderly,731,1,10,0,10,0
Kentucky,Prestonsburg,3256,11,69,22,43,4
Kentucky,Princeton,6166,20,255,70,173,12
Kentucky,Prospect,4899,1,38,5,32,1
Kentucky,Providence,3060,1,25,9,16,0
Kentucky,Raceland,2380,0,23,10,12,1
Kentucky,Radcliff,23040,72,559,129,402,28
Kentucky,Ravenna,592,0,0,0,0,0
Kentucky,Richmond,33943,85,1153,226,885,42
Kentucky,Russell,3244,3,77,17,53,7
Kentucky,Russell Springs,2529,1,44,10,32,2
Kentucky,Russellville,7054,15,227,58,157,12
Kentucky,Sadieville,331,0,0,0,0,0
Kentucky,Salyersville,1817,0,1,1,0,0
Kentucky,Science Hill,699,0,2,1,0,1
Kentucky,Scottsville,4373,6,92,21,60,11
Kentucky,Shelbyville,15209,22,250,58,178,14
Kentucky,Shepherdsville,11990,28,450,91,327,32
Kentucky,Shively,15733,82,605,154,348,103
Kentucky,Silver Grove,1122,1,26,9,17,0
Kentucky,Simpsonville,2695,3,66,8,54,4
Kentucky,Smiths Grove,720,0,6,1,4,1
Kentucky,Somerset,11473,32,552,88,443,21
Kentucky,Southgate,3866,4,34,10,24,0
Kentucky,South Shore,1103,1,0,0,0,0
Kentucky,Springfield,2682,1,27,10,17,0
Kentucky,Stamping Ground,704,0,4,0,3,1
Kentucky,Stanford,3658,4,31,10,19,2
Kentucky,Stanton,2686,1,29,13,15,1
Kentucky,St. Matthews,18016,42,758,111,586,61
Kentucky,Strathmoor Village,664,0,5,2,2,1
Kentucky,Sturgis,1927,1,10,2,8,0
Kentucky,Taylor Mill,6748,5,57,15,35,7
Kentucky,Taylorsville,796,2,21,9,11,1
Kentucky,Tompkinsville,2284,0,7,0,5,2
Kentucky,Trenton,386,0,0,0,0,0
Kentucky,Uniontown,969,0,14,3,9,2
Kentucky,Vanceburg,1467,1,13,7,2,4
Kentucky,Versailles,9105,24,432,92,321,19
Kentucky,Villa Hills,7455,0,69,6,56,7
Kentucky,Vine Grove,5782,3,75,18,54,3
Kentucky,Warsaw,1686,0,0,0,0,0
Kentucky,Wayland,410,0,0,0,0,0
Kentucky,West Buechel,1272,12,376,8,358,10
Kentucky,West Liberty,3275,1,8,0,8,0
Kentucky,West Point,764,0,28,7,19,2
Kentucky,Wheelwright,468,0,0,0,0,0
Kentucky,Whitesburg,2001,1,2,1,0,1
Kentucky,Wilder,3113,3,46,7,33,6
Kentucky,Williamsburg,5279,9,79,20,51,8
Kentucky,Williamstown,3968,1,40,11,26,3
Kentucky,Wilmore,6179,2,58,21,34,3
Kentucky,Winchester,18462,46,972,168,760,44
Kentucky,Worthington,1580,0,3,2,1,0
Louisiana,Abbeville,12495,146,620,180,431,9
Louisiana,Addis,4655,14,1,0,1,0
Louisiana,Alexandria,48305,988,4046,1011,2794,241
Louisiana,Baldwin,2344,1,80,20,59,1
Louisiana,Ball,4014,4,24,12,10,2
Louisiana,Basile,1809,0,8,1,7,0
Louisiana,Bastrop,10773,132,1228,463,721,44
Louisiana,Baton Rouge,228727,2001,10243,2377,7372,494
Louisiana,Bernice,1645,1,4,2,2,0
Louisiana,Berwick,4779,4,98,36,60,2
Louisiana,Blanchard,2911,3,44,3,38,3
Louisiana,Bogalusa,11859,158,744,184,531,29
Louisiana,Bossier City,68918,514,2984,491,2321,172
Louisiana,Breaux Bridge,8372,26,679,89,550,40
Louisiana,Broussard,10919,23,427,193,222,12
Louisiana,Brusly,2733,0,25,12,13,0
Louisiana,Bunkie,4044,52,165,61,102,2
Louisiana,Carencro,8653,37,307,50,231,26
Louisiana,Church Point,4531,15,22,11,10,1
Louisiana,Clarence,487,0,0,0,0,0
Louisiana,Clinton,1576,4,1,0,1,0
Louisiana,Cottonport,1943,5,60,18,42,0
Louisiana,Coushatta,1847,10,40,15,25,0
Louisiana,Covington,9922,28,369,38,318,13
Louisiana,Crowley,13169,133,380,116,178,86
Louisiana,Denham Springs,10067,65,828,188,636,4
Louisiana,De Quincy,3160,4,44,11,32,1
Louisiana,De Ridder,10839,10,305,58,246,1
Louisiana,Epps,847,0,0,0,0,0
Louisiana,Erath,2109,24,31,2,26,3
Louisiana,Eunice,10311,60,640,166,450,24
Louisiana,Farmerville,3869,34,264,53,205,6
Louisiana,Ferriday,3422,35,131,53,75,3
Louisiana,Fisher,228,0,0,0,0,0
Louisiana,Florien,630,0,2,1,1,0
Louisiana,Folsom,765,1,21,4,17,0
Louisiana,Franklin,7301,37,295,115,175,5
Louisiana,Franklinton,3758,26,208,42,157,9
Louisiana,French Settlement,1110,1,8,3,4,1
Louisiana,Georgetown,327,0,0,0,0,0
Louisiana,Golden Meadow,2070,4,1,0,0,1
Louisiana,Gonzales,10624,52,932,82,826,24
Louisiana,Gramercy,3433,13,87,4,82,1
Louisiana,Greenwood,3194,1,72,24,40,8
Louisiana,Gretna,17871,53,557,88,453,16
Louisiana,Hammond,20449,208,2077,564,1448,65
Louisiana,Harahan,9347,11,101,25,72,4
Louisiana,Haughton,3381,2,6,1,5,0
Louisiana,Houma,34238,212,1818,258,1502,58
Louisiana,Ida,216,0,0,0,0,0
Louisiana,Independence,1693,19,79,18,56,5
Louisiana,Iowa,3220,62,74,4,67,3
Louisiana,Jena,3383,1,4,0,3,1
Louisiana,Jennings,10133,21,334,65,261,8
Louisiana,Kaplan,4610,18,90,16,72,2
Louisiana,Kentwood,2337,44,271,61,194,16
Louisiana,Killian,1310,2,22,6,16,0
Louisiana,Kinder,2446,6,48,5,38,5
Louisiana,Krotz Springs,1206,0,0,0,0,0
Louisiana,Lafayette,127273,712,6752,1014,5334,404
Louisiana,Lake Arthur,2747,2,17,8,8,1
Louisiana,Lake Charles,75564,559,3057,1588,1299,170
Louisiana,Lake Providence,3783,41,41,12,27,2
Louisiana,Leesville,6496,52,502,91,394,17
Louisiana,Lutcher,3366,21,30,7,23,0
Louisiana,Mandeville,12306,15,282,24,246,12
Louisiana,Mansfield,5007,50,221,101,113,7
Louisiana,Many,2784,12,210,15,189,6
Louisiana,Marion,755,3,9,4,5,0
Louisiana,Marksville,5515,93,326,72,246,8
Louisiana,Minden,12741,20,307,66,223,18
Louisiana,Monroe,49703,1293,4165,895,3144,126
Louisiana,Montgomery,724,3,22,5,17,0
Louisiana,Montpelier,249,0,0,0,0,0
Louisiana,Moreauville,900,1,9,3,6,0
Louisiana,Morgan City,11837,32,388,28,351,9
Louisiana,Natchitoches,18350,248,1286,334,939,13
Louisiana,New Orleans,393447,3736,15243,2898,9828,2517
Louisiana,Norwood,314,0,0,0,0,0
Louisiana,Oil City,999,14,23,0,23,0
Louisiana,Olla,1371,4,22,5,16,1
Louisiana,Opelousas,16580,196,1253,321,891,41
Louisiana,Patterson,6106,9,80,1,77,2
Louisiana,Pearl River,2485,23,66,14,47,5
Louisiana,Pineville,14401,144,886,168,681,37
Louisiana,Pollock,478,2,5,4,1,0
Louisiana,Ponchatoula,6987,85,547,122,405,20
Louisiana,Port Allen,5129,22,57,9,44,4
Louisiana,Port Vincent,736,2,13,3,9,1
Louisiana,Rayne,8063,47,293,60,230,3
Louisiana,Ruston,22386,98,724,142,575,7
Louisiana,Scott,8975,11,170,60,106,4
Louisiana,Shreveport,197592,1619,10148,2234,7339,575
Louisiana,Sibley,1187,0,0,0,0,0
Louisiana,Slidell,27746,100,1468,151,1279,38
Louisiana,Springhill,5118,13,193,13,180,0
Louisiana,Sulphur,20150,89,919,184,689,46
Louisiana,Tallulah,7144,49,217,63,152,2
Louisiana,Thibodaux,14612,84,601,84,502,15
Louisiana,Tickfaw,741,0,12,2,10,0
Louisiana,Vidalia,4168,12,201,45,151,5
Louisiana,Ville Platte,7255,63,467,165,289,13
Louisiana,Vinton,3353,10,42,12,28,2
Louisiana,Walker,6259,44,267,31,227,9
Louisiana,West Monroe,12960,116,1054,253,764,37
Louisiana,Westwego,8547,23,250,47,191,12
Louisiana,White Castle,1850,3,38,15,21,2
Louisiana,Wilson,574,1,0,0,0,0
Louisiana,Winnfield,4580,64,226,56,161,9
Louisiana,Zachary,16537,76,516,70,421,25
Maine,Ashland,1241,0,14,8,4,2
Maine,Auburn,22880,23,727,88,620,19
Maine,Augusta,18608,80,950,142,794,14
Maine,Baileyville,1455,1,16,4,10,2
Maine,Bangor,32455,56,1276,173,1086,17
Maine,Bar Harbor,5328,5,82,6,73,3
Maine,Bath,8284,4,188,14,169,5
Maine,Belfast,6680,8,218,59,147,12
Maine,Berwick,7552,4,105,38,63,4
Maine,Biddeford,21355,103,1012,131,866,15
Maine,Boothbay Harbor,2173,7,26,1,24,1
Maine,Brewer,9279,4,207,14,191,2
Maine,Bridgton,5378,8,187,53,123,11
Maine,Brownville,1197,1,15,4,11,0
Maine,Brunswick,20490,20,340,50,279,11
Maine,Bucksport,4944,9,66,16,49,1
Maine,Buxton,8169,11,90,19,64,7
Maine,Calais,2976,4,120,15,105,0
Maine,Camden,4836,2,32,4,26,2
Maine,Cape Elizabeth,9230,0,86,23,62,1
Maine,Caribou,7799,4,147,22,113,12
Maine,Carrabassett Valley,776,0,28,3,25,0
Maine,Clinton,3349,6,36,12,23,1
Maine,Cumberland,7641,0,18,6,6,6
Maine,Damariscotta,2214,7,45,11,34,0
Maine,Dexter,3812,2,61,6,54,1
Maine,Dixfield,2472,1,44,17,24,3
Maine,Dover-Foxcroft,4018,10,86,19,65,2
Maine,East Millinocket,3002,0,52,6,45,1
Maine,Eastport,1258,3,20,4,14,2
Maine,Eliot,6322,4,18,5,13,0
Maine,Ellsworth,7870,13,303,48,250,5
Maine,Fairfield,6527,15,220,31,181,8
Maine,Falmouth,11874,4,129,29,96,4
Maine,Farmington,7579,6,105,17,87,1
Maine,Fort Fairfield,3381,2,49,7,39,3
Maine,Fort Kent,3992,3,23,4,17,2
Maine,Freeport,8314,8,152,15,135,2
Maine,Fryeburg,3387,9,32,8,24,0
Maine,Gardiner,5646,5,184,19,159,6
Maine,Gorham,17190,7,180,60,115,5
Maine,Gouldsboro,1741,0,28,7,19,2
Maine,Greenville,1596,2,27,6,20,1
Maine,Hallowell,2318,1,36,5,30,1
Maine,Hampden,7427,3,53,8,45,0
Maine,Holden,3094,0,39,12,25,2
Maine,Houlton,5903,9,193,17,171,5
Maine,Islesboro,568,0,9,3,5,1
Maine,Jay,4770,9,61,17,40,4
Maine,Kennebunk,11185,4,77,13,62,2
Maine,Kennebunkport,3571,4,33,3,28,2
Maine,Kittery,9689,10,121,11,110,0
Maine,Lewiston,36232,68,732,180,511,41
Maine,Limestone,2224,1,14,6,8,0
Maine,Lincoln,5058,3,116,25,88,3
Maine,Lisbon,8854,10,121,24,93,4
Maine,Livermore Falls,3134,4,39,10,28,1
Maine,Machias,2112,7,48,16,31,1
Maine,Madawaska,3860,5,58,8,49,1
Maine,Madison,4670,2,68,8,57,3
Maine,Mechanic Falls,3003,6,31,2,29,0
Maine,Mexico,2594,13,191,34,155,2
Maine,Milbridge,1294,0,11,0,11,0
Maine,Millinocket,4378,5,50,15,33,2
Maine,Milo,2258,5,31,4,27,0
Maine,Monmouth,4062,2,29,11,17,1
Maine,Mount Desert,2073,0,39,2,36,1
Maine,Newport,3242,2,62,12,49,1
Maine,North Berwick,4668,1,44,20,23,1
Maine,Norway,4925,11,107,21,84,2
Maine,Oakland,6212,8,73,17,54,2
Maine,Ogunquit,917,2,29,4,25,0
Maine,Old Orchard Beach,8790,17,266,43,211,12
Maine,Old Town,7658,6,164,19,142,3
Maine,Orono,10753,6,164,21,140,3
Maine,Oxford,4040,5,172,14,157,1
Maine,Paris,5097,3,79,19,57,3
Maine,Phippsburg,2225,0,13,2,10,1
Maine,Pittsfield,4063,0,34,6,28,0
Maine,Portland,66816,215,2022,266,1687,69
Maine,Presque Isle,9232,20,248,36,203,9
Maine,Rangeley,1160,0,11,2,6,3
Maine,Richmond,3377,4,16,7,9,0
Maine,Rockland,7202,1,198,27,167,4
Maine,Rockport,3368,1,16,4,12,0
Maine,Rumford,5664,8,262,55,205,2
Maine,Sabattus,5059,8,51,22,23,6
Maine,Saco,19146,28,402,53,332,17
Maine,Sanford,20936,49,723,113,583,27
Maine,Scarborough,19682,11,374,32,339,3
Maine,Searsport,2629,1,31,15,15,1
Maine,Skowhegan,8424,21,399,35,352,12
Maine,South Berwick,7340,12,44,12,31,1
Maine,South Portland,25540,24,602,57,528,17
Maine,Southwest Harbor,1773,0,40,3,35,2
Maine,Thomaston,2766,1,89,6,82,1
Maine,Topsham,8703,2,117,18,95,4
Maine,Van Buren,2065,1,29,1,26,2
Maine,Veazie,1875,0,18,0,18,0
Maine,Waldoboro,5004,4,57,19,36,2
Maine,Washburn,1602,1,20,6,13,1
Maine,Waterville,16300,43,718,61,638,19
Maine,Wells,10118,6,111,42,64,5
Maine,Westbrook,17989,54,410,63,330,17
Maine,Willimantic,143,0,0,0,0,0
Maine,Wilton,3973,4,38,7,27,4
Maine,Windham,17740,7,295,42,250,3
Maine,Winslow,7602,7,82,18,63,1
Maine,Winter Harbor,516,1,7,0,6,1
Maine,Winthrop,5962,4,112,40,72,0
