STABR,FSCSKEY,LIBID,LIBNAME,OBEREG,RSTATUS,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,FIPSST,FIPSCO,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,TOTSTAFF,LOCGVT,STGVT,FEDGVT,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,TOTEXPCO,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,DATABASE,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,REGBOR,TOTCIR,KIDCIRCL,ELMATCIR,LOANTO,LOANFM,TOTPRO,TOTATTEN,GPTERMS,PITUSR,WIFISESS,YR_SUB
AR,AR0002,AR002,WASHINGTON COUNTY LIBRARY SYSTEM,05,1,00,00,00,-94.176152,36.034232,05,143,1080 WEST CLYDESDALE DRIVE,FAYETTEVILLE,72701,8211,WASHINGTON,4794426253,NO,CO,MA,MC2,N,01/01/2014,12/31/2014,159726,0,9,0,9,12,31.9,2823888,232662,0,3281789,1439937,297244,1737181,345192,101443,551975,2860307,1860000,0,0,1860000,1860000,288606,31312,20030,9769,50890,514,70,233,18696,789937,55231,49149,1013320,207812,39265,2010,1381,980,22974,187,115364,44428,2015
AR,AR0003,AR003-013,MARION COUNTY LIBRARY,05,2,00,00,00,-92.6865829,36.2253241,05,089,308 OLD MAIN,YELLVILLE,72687,7991,MARION,8704496015,HQ,CO,SO,CO1,N,01/01/2014,12/31/2014,16224,1,0,0,1,3,5,179790,21982,0,201772,93731,27384,121115,29728,3000,32728,203496,0,8568,0,8568,8568,24228,11949,734,4178,1527,254,52,38,2288,17472,15104,6740,43204,12079,16418,0,300,109,1639,4,3927,0,2015
AR,AR0004,AR0004-023,SOUTHWEST ARKANSAS REGIONAL LIBRARY,05,1,00,00,00,-93.5499871,34.3260227,05,109,210 2ND ST.,PRESCOTT,71857,M,NEVADA,8708875846,NO,MJ,MA,MC1,Y,01/01/2014,12/31/2014,108759,0,5,0,1,4,5,150493,75014,0,232163,54449,8915,63364,5571,2555,8126,73369,0,0,0,0,6000,55449,48,516,0,965,0,53,26,6192,22114,4084,2974,28926,4133,-1,0,1,195,5927,35,7757,451,2015
AR,AR0005,AR005-009,MID ARKANSAS REGIONAL LIBRARY SYSTEM,05,1,00,00,00,-92.8120159,34.3638122,05,059,202 EAST THIRD STREET,MALVERN,72104,3910,HOT SPRING,5013325441,NO,MJ,MO,MC1,N,01/01/2014,12/31/2014,66431,1,4,1,2,6,11,784900,172356,0,1024598,384644,149577,534221,40971,11380,247240,908855,0,0,0,0,0,158135,2015,4537,0,7262,0,55,92,8165,127336,3554,39987,112947,27545,5547,156,684,322,7604,49,23479,804,2015
AR,AR0006,AR006-004,GARLAND COUNTY LIBRARY,05,1,00,00,00,-93.0398887,34.4977021,05,051,1427 MALVERN AVENUE,HOT SPRINGS,71901,6316,GARLAND,5016234161,NO,CO,SO,CO1,N,01/01/2014,12/31/2014,88068,1,0,0,5,5,40,2894855,176598,0,3198006,1308446,475532,1783978,219867,173432,479944,3142955,0,0,0,0,47944,134808,4265,13305,12708,15162,3768,65,239,3463,417808,12023,47761,678642,127872,77557,962,92,1171,86265,35,52217,0,2015
AR,AR0007,AR0007-016,WHITE RIVER REGIONAL LIBRARY,05,2,00,00,00,-91.651515,35.7715482,05,063,368 E. MAIN STREET,BATESVILLE,72501,5605,INDEPENDENCE,8707938814,NO,MJ,MO,MC1,N,01/01/2014,12/31/2014,111788,0,16,0,1.91,1.91,27.37,1771363,292206,0,2150427,818358,277659,1096017,284121,15000,299121,1587253,0,0,0,195650,549108,171384,1044,5973,0,9028,0,55,342,25588,235352,76798,79597,377360,89243,6205,0,445,432,8143,86,41948,5342,2015
AR,AR0008,AR021-002,PINE BLUFF JEFFERSON COUNTY LIBRARY SYSTEM,05,1,00,00,00,-92.0019311,34.2215779,05,069,200 E. 8TH AVENUE,PINE BLUFF,71601,5006,JEFFERSON,8705944802,NO,CC,MO,CO1,N,01/01/2014,12/31/2014,84278,1,4,0,1,7,17,1203431,140296,0,1410584,667619,171697,839316,127326,63743,234323,1490467,0,0,0,71952,71952,172234,1531,4499,649,7543,0,66,163,11694,131492,26739,23875,162549,35186,345,170,26,325,7220,65,34293,0,2015
AR,AR0009,AR009-002,CROWLEY RIDGE REGIONAL LIBRARY,05,1,00,00,00,-90.707791,35.83383,05,031,315 WEST OAK AVENUE,JONESBORO,72401,3513,CRAIGHEAD,8709355133,NO,MJ,MO,MC1,N,01/01/2014,12/31/2014,107762,1,7,0,5,13,47,3267027,242120,0,3608806,1329056,472228,1801284,347869,131707,668086,2964958,49008,0,0,49008,49008,182330,7449,9529,2421,18304,0,72,249,13573,673182,30132,57749,676799,134902,50123,274,282,2482,59935,108,87666,0,2015
AR,AR0010,AR010-002,COLUMBIA COUNTY LIBRARY,05,2,00,00,00,-93.2352675,33.2863155,05,027,2057 NORTH JACKSON,MAGNOLIA,71753,2055,COLUMBIA,8702341991,NO,CO,MO,CO1,N,01/01/2014,12/31/2014,25603,1,1,0,1,3,7,343705,57872,0,435172,206510,60347,266857,37393,4825,46905,438429,0,0,0,0,67486,148252,1144,1686,28,2274,0,56,73,3952,48487,7478,3247,64796,16149,1569,0,0,275,4467,23,11834,3204,2015
AR,AR0011,AR011-003,FORT SMITH PUBLIC LIBRARY,05,2,00,00,00,-94.3975784,35.3740799,05,131,3201 ROGERS AVENUE,FORT SMITH,72903,2953,SEBASTIAN,4797830229,NO,CI,MO,CI1,N,01/01/2014,12/31/2014,80268,1,3,0,6,8,34.5,2309057,161178,0,2633102,1639456,499513,2138969,145893,44791,204567,2925153,0,0,0,0,0,281510,12581,8327,3382,10335,0,116,490,11804,401919,259564,87649,460490,149487,291347,2686,3514,612,23610,64,93891,0,2015
AR,AR0012,AR012-004,ARKANSAS RIVER VALLEY REGIONAL LIBRARY,05,1,00,00,00,-93.1577594,35.2278926,05,149,501 NORTH FRONT STREET,DARDANELLE,72834,3536,YELL,4792294418,NO,MJ,MO,MC1,N,01/01/2014,12/31/2014,84177,1,6,0,2,7,30,1668324,209799,0,1908954,797310,261450,1058760,155310,9120,206045,1654996,382770,0,0,382770,809902,125798,12443,2644,4763,7684,257,61,2332,15999,217039,18330,56018,285374,77653,34315,1231,1474,1374,23928,86,48038,0,2015
AR,AR0013,AR0056,NORTHEAST ARKANSAS REGIONAL LIBRARY,05,1,00,00,00,-90.5005733,36.0565268,05,055,120 NORTH 12TH STREET,PARAGOULD,72450,4155,GREENE,8702368711,NO,MJ,MO,MC1,N,01/01/2014,12/31/2014,73135,1,4,0,1,5,21,1378055,175980,0,1704646,504773,327355,832128,158859,62404,242767,1405063,0,0,0,0,0,198423,25365,6544,29495,9340,0,56,182,12324,190331,16626,34083,238457,42732,20799,0,12,228,11027,46,53518,0,2015
AR,AR0014,AR0014-016,SOUTHEAST ARKANSAS REGIONAL LIBRARY,05,1,00,00,00,-91.791149,33.6258582,05,043,107 EAST JACKSON AVE.,MONTICELLO,71655,4945,DREW,8703678584,NO,MJ,MA,MC1,N,01/01/2014,12/31/2014,75273,1,13,0,1,1,9,750712,188059,0,950271,507959,172891,680850,52000,4272,72272,892031,0,0,0,19825,1182,121061,50000,1358,0,3343,0,52,109,21294,226897,81682,25171,136411,24229,448,0,0,462,21524,90,49829,0,2015
AR,AR0015,AR015-003,PHILLIPS LEE MONROE REGIONAL LIBRARY SYSTEM,05,1,00,00,00,-90.5925077,34.5281048,05,107,702 PORTER ST,HELENA,72342,3142,PHILLIPS,8703387732,NO,MJ,MO,MC1,N,01/01/2014,12/31/2014,49279,1,5,0,0,5,9,586302,99563,0,743865,133970,38930,172900,8955,3200,12155,203247,0,0,0,0,0,44061,0,471,0,1200,0,52,6,7050,49022,4830,8671,45682,13533,0,0,202,114,1298,21,16755,1400,2015
AR,AR0016,AR016,WILLIAM F. LAMAN PUBLIC LIBRARY,05,1,00,00,00,-92.2694461,34.7800665,05,119,2801 ORANGE STREET,NORTH LITTLE ROCK,72114,2200,PULASKI,5017581720,NO,CI,MA,MA1,N,01/01/2014,12/31/2014,60433,1,1,0,5,5,38,2987833,124251,0,3193663,1302958,356899,1659857,107611,73678,212350,3437737,0,0,0,0,0,194877,4883,8562,3276,3810,0,67,239,4904,390618,272730,39629,231234,59387,34313,190,11,1127,28824,92,92443,0,2015
AR,AR0017,AR017-002,FAULKNER-VAN BUREN REGIONAL LIBRARY SYSTEM,05,1,00,00,00,-92.450169,35.102815,05,045,1900 TYLER STREET,CONWAY,72032,3240,FAULKNER,5013277482,NO,MJ,MO,MC1,N,01/01/2014,12/31/2014,102206,1,7,0,3,16,28,2396819,264151,0,2754051,800782,337898,1138680,183465,64506,269489,2057278,0,0,0,0,88500,203373,4928,7761,1351,9423,48,57,392,15780,493785,37718,51582,488970,138324,39130,2,643,1487,42519,64,133250,0,2015
AR,AR0019,AR019-007,WHITE COUNTY REGIONAL LIBRARY SYSTEM,05,1,00,00,00,-91.7373793,35.2476962,05,145,113 EAST PLEASURE AVENUE,SEARCY,72143,7709,WHITE,5012792870,NO,CO,MA,CO1,N,01/01/2014,12/31/2014,77076,1,7,0,1,11,17,1485553,146466,0,1669100,573529,237070,810599,197340,66922,324231,1501862,62003,0,0,62003,434303,113584,2029,5213,5499,13420,0,63,292,12676,259099,37656,36957,533413,123678,18283,2409,3194,799,21156,39,40398,7492,2015
AR,AR0020,AR020-002,BARTON LIBRARY,05,2,00,00,00,-92.6621776,33.2219535,05,139,200 EAST 5TH STREET,EL DORADO,71730,3824,UNION,8708635447,NO,CO,MO,CO1,N,01/01/2014,12/31/2014,45629,1,5,0,2,2,9,440790,65645,0,559780,260093,79956,340049,29404,11456,42772,520317,5000,0,0,7303,7303,57975,0,1654,0,1213,0,56,102,8742,70412,1719,18036,50635,13179,0,175,52,325,5049,14,22604,822,2015
AR,AR0021,AR008-002,POPE COUNTY LIBRARY SYSTEM,05,1,00,00,00,-93.1334386,35.2760024,05,115,116 EAST 3RD STREET,RUSSELLVILLE,72801,5107,POPE,4799684368,NO,CO,MO,CO1,N,01/01/2014,12/31/2014,54469,1,3,1,1,11,28,1005593,0,0,1041182,718993,225829,944822,126554,13993,170739,1375347,0,0,0,0,0,111794,10416,1933,2209,4623,1350,57,143,7280,148252,25556,30094,246360,64523,19967,494,667,1339,20768,36,28540,15756,2015
AR,AR0023,AR023-002,SCOTT SEBASTIAN REGIONAL LIBRARY,05,1,00,00,00,-94.256964,35.213056,05,131,18 N. ADAIR STREET,GREENWOOD,72936,M,SEBASTIAN,4799962856,NO,MJ,MO,MC1,N,01/01/2014,12/31/2014,45799,1,4,0,1,1,5,332910,125259,0,491967,179951,59332,239283,73834,0,77334,425083,0,0,0,0,0,127460,0,1874,0,562,0,52,92,4958,91865,21336,21034,151893,48997,0,14,186,105,4662,17,27448,125,2015
AR,AR0024,AR024-002,EAST CENTRAL ARKANSAS REGIONAL LIBRARY SYSTEM,05,1,00,00,00,-90.789455,35.223944,05,037,410 E. MERRIMAN AVE. E,WYNNE,72396,2947,CROSS,8702383850,NO,MJ,MO,MC1,N,01/01/2014,12/31/2014,28267,1,3,0,2,3,9,666499,82326,0,750214,398215,56332,454547,43824,13041,65481,993439,0,0,0,0,0,46329,1964,2180,28,3489,0,57,107,6682,52132,1846,19268,70456,15153,5650,10,118,254,5381,32,23039,30400,2015
AR,AR0025,AR025,WEST MEMPHIS PUBLIC LIBRARY,05,2,00,00,00,-90.1935949,35.1481819,05,035,213 NORTH AVALON STREET,WEST MEMPHIS,72301,2942,CRITTENDEN,8707327590,NO,CI,SO,CI1,N,01/01/2014,12/31/2014,28259,1,0,0,1,1,5,578399,60039,0,638438,187309,58479,245788,23806,6131,32820,365814,0,0,0,0,0,51847,3397,955,0,85,0,56,25,2067,14957,2774,14354,15639,4241,-1,1,5,37,480,16,13986,971,2015
AR,AR0026,AR026-003,ASHLEY COUNTY LIBRARY,05,1,00,00,00,-91.7966218,33.2257896,05,003,211 EAST LINCOLN STREET,HAMBURG,71646,3217,ASHLEY,8708532078,NO,CO,MO,CO1,N,01/01/2014,12/31/2014,24209,1,1,0,1,2,9,596042,39836,0,635878,295688,100809,396497,53966,14300,70919,615573,0,0,0,0,0,50782,974,1447,0,867,0,53,87,5035,71751,4549,15145,75392,11972,5946,0,3,310,7032,26,19874,1800,2015
AR,AR0027,AR027-002,W.A. BILLINGSLEY/JACKSON COUNTY LIBRARY,05,1,00,00,00,-91.282625,35.6052915,05,067,213 WALNUT STREET,NEWPORT,72112,3325,JACKSON,8705232952,NO,CO,MO,CO1,N,01/01/2014,12/31/2014,18418,1,1,0,1,1,3,217240,45962,0,275944,150188,15048,165236,23900,5975,32979,256827,0,0,0,0,0,40565,744,1698,550,981,0,56,58,3495,15429,1838,14280,23484,5276,2427,0,37,56,972,28,6959,2560,2015
AR,AR0028,AR028-002,TEXARKANA PUBLIC LIBRARY,05,1,00,00,00,-94.0380705,33.4248729,05,091,600 WEST THIRD ST.,TEXARKANA,75501,5054,BOWIE,9037942149,NO,CI,SO,CI1,N,01/01/2014,12/31/2014,61230,1,0,0,3,3,10,284976,79551,0,797077,311536,136921,448457,65266,16746,97002,735902,0,0,0,0,806,84147,108,3630,1640,6771,0,109,59,3252,359776,9620,39800,144012,27189,283,1612,1829,285,2717,21,11729,2234,2015
AR,AR0030,AR030-002,CONWAY COUNTY LIBRARY,05,1,00,00,00,-92.7453401,35.1513115,05,029,101 WEST CHURCH STREET,MORRILTON,72110,3305,CONWAY,5013545204,NO,CO,SO,CO1,N,01/01/2014,12/31/2014,20336,1,0,0,2,4,6,453701,52840,0,523069,168618,64630,233248,26280,7169,44989,314698,36384,0,0,36384,36384,28802,3395,675,0,1739,0,54,30,2184,54300,5313,20153,24612,10828,1564,9,8,125,7674,13,3152,0,2015
AR,AR0031,AR031-002,LAWRENCE COUNTY LIBRARY,05,2,00,00,00,-90.955328,36.0689372,05,075,115 WEST WALNUT STREET,WALNUT RIDGE,72476,1943,LAWRENCE,8708863222,NO,CO,MO,CO1,N,01/01/2014,12/31/2014,17774,1,2,0,1,1,4,345802,45843,0,431780,155770,47944,203714,60327,12528,89112,408674,0,10000,0,10000,10000,49410,633,1315,39,3013,0,67,83,5115,40602,8544,9937,94051,13244,779,31,17,450,6595,28,14871,0,2015
AR,AR0037,AR037-002,FORREST CITY PUBLIC LIBRARY,05,1,00,00,00,-90.7841304,35.0066591,05,123,421 SOUTH WASHINGTON STREET,FORREST CITY,72335,3839,ST. FRANCIS,8706335646,NO,CI,MO,CI1,N,01/01/2014,12/31/2014,14774,1,1,0,0,1,3,160000,24555,0,194305,97432,41199,138631,12274,3000,21274,194305,0,0,0,0,0,17990,315,1546,10,1126,0,54,29,4504,15389,2340,4091,17737,2580,210,0,0,82,806,10,7149,3640,2015
AR,AR0038,AR038-002,BENTONVILLE PUBLIC LIBRARY,05,1,00,00,00,-94.208936,36.367584,05,007,405 S. MAIN STREET,BENTONVILLE,72712,5904,BENTON,4792713192,NO,CI,SO,CI1,N,01/01/2014,12/31/2014,35301,1,0,0,4,5,35,0,0,0,111440,643079,173365,816444,139076,51139,209887,1257016,0,0,0,0,0,108196,11000,5154,4500,7073,120,70,205,3120,296819,14976,30621,591565,252677,-1,1,218,927,39402,48,32284,0,2015
AR,AR0039,AR0039-004,BAXTER COUNTY LIBRARY,05,1,00,00,00,-92.3796,36.332767,05,005,300 LIBRARY HILL,MOUNTAIN HOME,72653,4867,BAXTER,8705800987,NO,CO,MO,CO1,N,01/01/2014,12/31/2014,38386,1,1,0,2,5,19,651851,85183,0,1056249,522155,195185,717340,88335,23059,118865,1115234,0,22359,0,22359,0,86678,18186,3476,5536,6366,307,63,187,3672,209139,26214,45516,543083,76179,26503,16,150,561,27294,46,28438,7307,2015
AR,AR0040,AR018-001,MISSISSIPPI/CRITTENDEN REGIONAL LIBRARY,05,1,00,00,00,-89.9080509,35.9285187,05,093,200 NORTH 5TH STREET,BLYTHEVILLE,72315,2709,MISSISSIPPI,8707622431,NO,MJ,MO,MC1,N,01/01/2014,12/31/2014,75179,1,12,0,1,5,21,1043897,154697,0,1233928,645535,150022,795557,162449,10852,173301,1238715,0,0,0,0,0,158601,4743,2493,0,645,0,52,222,18304,178801,50000,26652,80671,17993,1410,212,76,403,6838,78,65465,0,2015
AR,AR0041,AR022-002,LONOKE/PRAIRIE COUNTY REGIONAL LIBRARY,05,2,00,00,00,-91.8989805,34.7852651,05,085,204 EAST 2ND STREET,LONOKE,72086,2804,LONOKE,8555726657,NO,MJ,MO,MC1,N,01/01/2014,12/31/2014,62367,0,9,0,1,8,25,1422359,164472,0,1586831,709729,340405,1050134,138483,22595,169117,1571405,2600,0,0,2600,2600,160028,8285,6030,7456,7571,0,52,90,19032,163010,22902,48202,186491,60701,5555,78,64,1180,27430,29,15917,0,2015
AR,AR0042,AR0042,ARKANSAS COUNTY LIBRARY,05,1,00,00,00,-91.5583768,34.4830561,05,001,2002 S. BUERKLE STREET,STUTTGART,72160,6508,ARKANSAS,8706731966,NO,CO,MO,CO1,N,01/01/2014,12/31/2014,20749,1,2,0,2,2,8,468466,48921,0,517387,226026,62188,288214,26045,1851,30657,446217,0,0,0,0,285342,160186,0,2438,0,672,0,52,117,5590,46301,2909,19441,35660,6271,0,0,2,201,1996,25,20307,2611,2015
AR,AR0043,AR0043-002,TRUMANN PUBLIC LIBRARY,05,2,00,00,00,-90.5228907,35.6713293,05,111,1200 WEST MAIN,TRUMANN,72472,2925,POINSETT,8704835355,NO,CI,SO,CI1,N,01/01/2014,12/31/2014,7243,1,0,0,0,1,1,35759,0,0,35759,,,,7000,480,14480,35477,12914,0,0,12914,12914,15000,0,400,0,420,0,52,18,1500,7200,0,5600,6952,1693,280,0,0,1,32,3,2820,52,2015
AR,AR0044,AR0044-002,BELLA VISTA PUBLIC LIBRARY,05,1,00,00,00,-94.2414138,36.4750415,05,007,11 DICKENS PLACE,BELLA VISTA,72714,4603,BENTON,4798551753,NO,OT,SO,OTH,N,01/01/2014,12/31/2014,16582,1,0,0,2,2,7,228681,0,0,228681,114622,6347,120969,25555,5739,31881,213085,0,0,0,0,0,21455,4100,1118,578,720,0,52,37,2808,73218,1633,5957,92655,13300,12958,0,37,233,3634,9,3183,0,2015
AR,AR0046,AR0046-003,SALINE COUNTY LIBRARY,05,1,00,00,00,-92.5702876,34.5817344,05,125,1800 SMITHERS DRIVE,BENTON,72015,3108,SALINE,5017784766,NO,CO,MO,CO1,N,01/01/2014,12/31/2014,107118,1,1,0,4,10,33,2817415,201092,0,3110260,1189741,486713,1676454,194160,166347,446968,2492388,0,201092,0,201092,157799,155840,6032,10407,1722,13282,0,90,148,5798,292357,40786,74714,522509,119689,47277,2142,207,917,41651,110,36954,7476,2015
AR,AR0047,AR0047-001,ROGERS PUBLIC LIBRARY,05,1,00,00,00,-94.143774,36.328112,05,007,711 S. DIXIELAND RD.,ROGERS,72758,4033,BENTON,4796211152,NO,CI,SO,CI1,N,01/01/2014,12/31/2014,38829,1,0,0,9,11.6,40,1699702,129392,0,2002228,978590,350826,1329416,160382,90737,289911,2015948,0,0,0,0,0,133660,12867,7358,9908,8572,254,80,232,3371,233617,59430,37688,452067,138383,59132,1202,968,986,48671,69,30775,0,2015
AR,AR0048,AR0048-001,CRAWFORD COUNTY LIBRARY SYSTEM,05,1,00,00,00,-94.3444915,35.4366189,05,033,1409 MAIN ST.,VAN BUREN,72956,4558,CRAWFORD,4794713226,NO,CO,MO,CO1,N,01/01/2014,12/31/2014,54247,1,5,0,1,6,18,1084648,119386,0,1303337,458446,178838,637284,120509,13140,197078,1170764,0,47255,0,47255,47255,149248,14545,8346,7296,8457,257,59,38,15136,341987,15373,25933,224326,52846,15608,1332,1385,1583,25661,62,37083,0,2015
AR,AR0049,AR0049-001,CARROLL AND MADISON LIBRARY SYSTEM,05,1,00,00,00,-93.5696581,36.3668524,05,015,106 SPRING STREET,BERRYVILLE,72616,3846,CARROLL,8704235300,NO,MJ,MA,MC1,N,01/01/2014,12/31/2014,39600,1,6,0,4,4,20,985102,112794,0,1169096,471648,188432,660080,145515,19455,243159,1288219,0,0,0,0,0,118231,18186,7826,5506,17154,307,56,215,16198,221005,16385,23078,332046,36677,20852,399,2377,1288,24074,42,49122,0,2015
AR,AR0050,AR0050-001,BOONE COUNTY LIBRARY,05,1,00,00,00,-93.1089222,36.229815,05,009,221 WEST STEPHENSON AVENUE,HARRISON,72601,4225,BOONE,8707415913,NO,CO,SO,CO1,N,01/01/2014,12/31/2014,33948,1,0,0,1,1,10,486140,79092,0,604364,283537,85082,368619,69636,12319,89677,580334,0,0,0,0,0,89143,16129,2477,3604,2997,239,60,82,2423,128664,36682,22492,184627,46406,11495,0,229,250,7977,28,26813,0,2015
AR,AR0051,AR0051-001,NEWTON COUNTY,05,1,00,00,00,-93.1876179,36.008644,05,101,201 S. STONE,JASPER,72641,M,NEWTON,8704462983,NO,CO,SO,CO1,N,01/01/2014,12/31/2014,8330,1,0,0,1,1,3.5,79325,31233,0,133087,67312,16073,83385,8275,500,11275,125873,0,0,0,0,0,17031,9782,938,3521,1731,236,52,12,2166,11940,3184,3781,23926,3002,46,62,90,65,854,4,3433,0,2015
AR,AR0060,AR0028,CLARK COUNTY LIBRARY,05,2,00,00,00,-93.05422,34.120952,05,019,609 CADDO STREET,ARKADELPHIA,71923,6019,CLARK,8702462271,NO,CO,MO,CO1,N,01/01/2014,12/31/2014,23546,1,1,0,0,1,4,273300,0,0,273300,146800,55290,202090,35000,7200,45700,309790,0,0,0,0,46485,89208,300,1421,0,726,0,52,275,3328,24000,1900,11500,39988,10000,288,0,0,157,1928,4,8500,0,2015
AR,AR0061,AR0061-001,LAFAYETTE COUNTY LIBRARY,05,4,00,00,00,-93.575563,33.357223,05,073,219 E. THIRD STREET,LEWISVILLE,71845,8075,LAFAYETTE,8709214757,NO,CO,MO,CO1,N,01/01/2014,12/31/2014,8027,1,1,0,0,2,5,82505,9182,0,91687,55083,11460,66543,16449,0,16449,114429,0,0,0,0,3764,17404,35793,100,0,0,0,52,60,3224,9256,18840,508,15436,3759,-1,205,197,4,28,12,8808,-1,2015
AR,AR0062,AR0062,OUACHITA MOUNTAINS REGIONAL LIBRARY,05,2,00,00,00,-93.631846,34.5562952,05,097,145A WHITTINGTON STREET,MOUNT IDA,71957,M,MONTGOMERY,8708673812,NO,CO,MA,CO1,N,01/01/2014,12/31/2014,29474,1,2,0,1,2,10,124309,54700,0,200649,103747,14460,118207,8934,0,11578,144747,0,0,0,0,0,37783,0,1149,0,4785,0,55,24,6503,35488,9300,13973,81865,9814,0,6,84,115,874,9,10263,3380,2015
AR,AR0063,AR0063,PUBLIC LIBRARY OF CAMDEN & OUACHITA COUNTY,05,1,00,00,00,-92.846862,33.582323,05,103,239 GARDEN OAKS DRIVE,CAMDEN,71701,3733,OUACHITA,8708365083,NO,CO,MO,CO2,N,01/01/2014,12/31/2014,28790,1,2,0,0,1,3,137708,40972,0,205110,101109,16665,117774,20000,0,22500,164754,0,0,0,0,0,10958,0,667,0,0,0,52,31,3398,15707,4414,17150,23802,4600,0,0,24,6,660,10,7944,0,2015
AR,AR0064,AR0064,CALHOUN COUNTY LIBRARY,05,4,00,00,00,-92.471776,33.537781,05,013,109 SOUTH 2ND ST.,HAMPTON,71744,8962,CALHOUN,8707984492,NO,CO,MO,CO1,N,01/01/2014,12/31/2014,5559,1,1,0,0,1,3,133815,8909,0,151297,20836,4354,25190,12442,0,15260,73742,4000,0,0,4000,1695,18339,20801,701,6891,1155,883,52,25,4139,21718,3974,3870,27140,6609,-1,324,311,83,1806,4,2170,0,2015
AR,AR0066,AR0066,FAYETTEVILLE PUBLIC LIBRARY,05,1,00,00,00,-94.164984,36.061997,05,143,401 W. MOUNTAIN STREET,FAYETTEVILLE,72701,5819,WASHINGTON,4798567000,NO,CI,SO,CI1,N,01/01/2014,12/31/2014,58047,1,0,0,9,9,39.84,3408388,143858,0,4024265,2076211,538472,2614683,291736,76260,444027,4394483,0,0,0,0,0,245522,77560,13788,20945,22481,117,75,298,3214,534514,78574,85377,1272944,324957,148113,1592,886,1281,47290,182,84920,0,2015
AR,AR0068,AR0065,PEA RIDGE COMMUNITY LIBRARY,05,4,00,00,00,-94.114902,36.45385,05,007,161 EAST PICKENS,PEA RIDGE,72751,2319,BENTON,4794518442,NO,CI,SO,CI1,N,01/01/2014,12/31/2014,2346,1,0,0,.1,.89,1.37,48023,1993,0,52928,,,,5416,418,7064,50773,0,0,0,0,2529,12835,19749,316,8522,667,702,52,9,1687,9576,2412,2200,12494,3046,-1,169,147,33,663,8,3384,-1,2015
AR,AR0069,AR0067-01,GRAVETTE PUBLIC LIBRARY,05,2,00,00,00,-94.4497317,36.4194607,05,007,407 CHARLOTTE STREET SE,GRAVETTE,72736,9363,BENTON,4797876955,NO,CI,SO,CI1,Y,01/01/2014,12/31/2014,2800,1,0,0,0,1,2,164534,0,0,164534,,,,634,1500,2134,63642,0,0,0,0,0,5182,1728,122,0,3017,0,52,82,2288,11371,168,2137,16264,820,3682,0,5,8,2456,21,1657,4137,2015
AR,AR0070,AR0069,JIM G. FERGUSON SEARCY COUNTY LIBRARY,05,2,00,00,00,-92.629333,35.9089019,05,129,202 EAST MAIN STREET,MARSHALL,72650,7723,SEARCY,8704482420,HQ,CO,SO,CO1,N,01/01/2014,12/31/2014,8195,1,0,0,0,1,6,219980,0,0,219980,130135,52525,182660,17000,1000,18500,265482,0,0,0,0,0,41105,1,720,4400,0,4,138,26,2184,9358,394,4485,43768,10659,-1,0,0,42,1991,24,4485,0,2015
AR,AR0071,AR0071,"FAIRFIELD BAY LIBRARY,INCORPORATED",05,1,00,00,00,-92.2613931,35.6145269,05,141,369 DAVE CREEK PARKWAY,FAIRFIELD BAY,72088,3631,VAN BUREN,5018844930,NO,OT,SO,OTH,N,01/01/2014,12/31/2014,2460,1,0,0,0,1,1,25145,0,0,102847,,,,12169,425,13165,121315,0,0,0,0,0,15525,0,560,0,1095,0,52,23,1300,11150,2496,544,18040,1060,0,0,0,25,1473,6,5000,2964,2015
AR,AR0076,AR0081,HEMPSTEAD COUNTY LIBRARY,05,1,00,00,00,-93.5921234,33.6649861,05,057,500 S. ELM STREET,HOPE,71801,5222,HEMPSTEAD,8707774564,HQ,CO,SO,CO1,N,01/01/2014,12/31/2014,22000,1,0,0,1,1,3,481467,54618,0,536085,109513,38111,147624,29643,5558,38701,231007,0,0,0,0,0,42715,819,618,68,346,0,52,29,1975,25402,5142,7481,38296,4377,2811,0,0,20,420,5,4140,0,2015
AR,AR0077,AR0072,GENTRY PUBLIC LIBRARY,05,1,00,00,00,-94.484606,36.267561,05,007,105 E. MAIN,GENTRY,72734,8219,BENTON,4797362054,HQ,CI,SO,CI2,N,01/01/2014,12/31/2014,3158,1,0,0,0,1,2,123925,0,0,128875,,,,3400,2625,7499,62542,0,0,0,0,0,13930,0,564,0,1386,0,53,0,2360,16729,44,2128,12325,878,0,0,0,179,1879,6,3381,0,2015
