est_number,company,street,city,st,zip,phone,grant_date,activities,dbas
M5626+P5626,"Byerly Foods International, Inc.",877 North Lake Street,Lake Mills,IA,50450,(641) 592-7700,2015-09-08,"Meat Processing, Poultry Processing","Lund Food Holdings, Inc."
M19881+P19881,Bylada Foods LLC,140 West Commercial Avenue,Moonachie,NJ,7074,(201) 933-7474,2012-09-27,"Meat Processing, Poultry Processing",
M2592+P2592+V2592,"Byron Center Wholesale Meats, Inc.",8375 Freeland Ave. SW,Byron Center,MI,49315,(616) 878-1578,2009-06-03,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",Byron Center Meats
M21480+P21480+V21480,"C & C Processing, Inc.",409 Commercial Street,Diller,NE,68342,(402) 793-5820,2015-07-15,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",Blue Valley Brand; Pony Express Ranch
M7271+P7271,"C & L Foods, Inc.",1802 E. Levee,Dallas,TX,75207,(214) 742-3003,2015-06-02,"Meat Processing, Poultry Processing",C & L Foods Inc.
M38514+P38514,C & S Poultry,608 Monterey Pass Road,Monterey Park,CA,91754,(626) 318-6998,2013-07-29,"Meat Processing, Poultry Processing",
M21190,C & W Meat Packers,318 West pearl Street,Cynthiana,KY,41031,(859) 234-4121,2001-01-29,"Meat Processing, Meat Slaughter",
M10114+P10114+V10114,"C. Roy, Inc.",444 Roy Drive,Yale,MI,48097,(810) 387-3975,2002-01-25,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M8871+P8871,C. W Brown Foods Inc,161 Kings Highway,Mt Royal,NJ,8061,(856) 423-3700,2016-09-21,"Meat Processing, Poultry Processing",
M6119+P6119,C.R. Meats,994 West MacArthur Blvd.,Oakland,CA,94608,(510) 654-0237,2002-04-16,"Meat Processing, Poultry Processing",Manna Foods
M18494+P18494,"C&C Meat Sales, Inc.",475 Commerce Dr.,Upper Marlboro ,MD,20772,(301) 249-8800,2010-04-10,"Meat Processing, Poultry Processing",
M8330+P8330+V8330,C&F Meats,5247 Murfreesboro Rd,College Grove,TN,37046,(615) 395-4819,2001-11-21,"Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",C & F Meats
M2073+P2073+V2073,C&F Packing Company,515 Park Ave.,Lake Villa,IL,60046,(847) 245-2000,1986-01-24,"Certification - Export, Meat Processing, Poultry Processing",Arco Brand Sausage
M4831+P4831,C&H Meat Co.,3017 Bandini Blvd.,Vernon,CA,90023,(323) 261-5388,2006-03-16,"Meat Processing, Poultry Processing",
M45505+P45505,C&H Meat Company,18911 Lake Chabot Road,Castro Valley,CA,94546,(510) 562-0528,2015-07-29,"Meat Processing, Poultry Processing",C&H Meat Company; Mama Cho's BBQ
M5486,C&H Veal Co.,77 Goble Street,Newark,NJ,7114,(973) 824-4770,2002-03-04,Meat Processing,Jersey Prime Beef Co.
M20899+P20899,"C&J Tendermeat Co., Inc.",324 E. International Airport Road,Anchorage,AK,99518,(907) 562-2838,1999-07-19,"Meat Processing, Poultry Processing",
M34652+P34652,"C&K Unlimited, Inc.",11231 Thienes Avenue Unit B&C,South El Monte,CA,91733,(213) 596-0251,2006-10-31,"Meat Processing, Poultry Processing",
M7301+P7301,C&S Wholesale Meat Co.,973 Confederate Ave SE,Atlanta,GA,30312,(404) 627-3547,1995-04-21,Meat Processing,Dora Dee Products Inc
M34276+P34276,"Cabal Sausage Company, LLC",10897 Main Street,Fairfax,VA,22030,(571) 237-4847,2007-06-06,Meat Processing,
M9819+V9819,"Cabin Hollow Butcher Shop, Inc",156 Old Cabin Hollow Road,Dillsburg,PA,17019,(717) 432-4225,2005-06-21,"Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M45209,"Cabool Kountry Meats, LLC",90 Industrial Park Drive,Cabool,MO,65689,(417) 962-2112,2014-05-21,"Meat Processing, Meat Slaughter",
M45253,Cabrera's Spanish Sausages,765 W 27th St. Suite B,Hialeah,FL,33010,(786) 236-9020,2013-07-19,Meat Processing,
M21530,"Cabrito Market, Inc.",1121 N. Bentsen Palm Drive,Mission,TX,78572,(956) 585-7763,2007-05-03,"Meat Processing, Meat Slaughter",
M6498+P6498,"Cacique, Inc.",445 W. Coal Creek Road,Cedar City,UT,84720,(801) 586-9330,1998-01-05,Meat Processing,
M5498+P5498,"Caesar's Pasta, LLC",1001 Lower Landing Road,Blackwood,NJ,8012,(609) 227-2585,2015-09-01,"Meat Processing, Poultry Processing",Caesars Pasta
M34641+P34641,"CAFE SPICE GCT, INC.",677 LITTLE BRITAIN ROAD,NEW WINDSOR,NY,12553,(845) 863-0910,2008-11-17,"Meat Processing, Poultry Processing",ZAIKA FLAVORS OF INDIA; ZAIKA FOODS
M6154+P6154,Caggiano Co.,1285 Skillman Lane,Petaluma,CA,94952,(707) 765-2849,2000-01-04,"Meat Processing, Poultry Processing",Sonoma County Poultry
M40079+P40079+V40079,CaiE Foods,1802-A Brierley Way #108,Sparks,NV,89434,(775) 356-8838,2013-05-09,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",
V40105,Caine Warehousing LTD,300 Commerce Drive,Reeseville,WI,53579,(920) 927-3881,2010-10-21,"Certification - Export, Identification - Meat",
M39985+P39985,"Caito Foods, Inc.",3120 North Post Rd,Indianapolis,IN,46226,(317) 897-2009,2010-02-09,"Meat Processing, Poultry Processing",
M8214+P8214,"Cajun Original Foods, Inc.",704 Avenue D Acadiana Regional Airport,New Iberia ,LA,70560,(337) 367-1344,2006-12-21,"Meat Processing, Poultry Processing",Bodin Foods; Tony's Cajun Delights
M20215+P20215,Cajun Specialty Meats,690 Heinberg St.,Pensacola,FL,32502,(850) 469-9400,2007-04-18,"Meat Processing, Poultry Processing",
M44052+P44052,Cal Poly Meats,"California Polytechnic State University 1 Grand Avenue, Building 155",San Luis Obispo,CA,93407,(805) 756-2114,2012-05-14,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",
M34051+V34051,Calabro Cheese Corporation,580 Coe Avenue,East Haven,CT,6512,(203) 469-1311,2014-11-13,"Certification - Export, Meat Processing",
M45231,Caldwell Farms,313 North Parish Road,Turner,ME,4282,(207) 754-3871,2014-02-11,Meat Processing,
M46200+P46200,Caledonia Packing LLC,3892 92nd St SE,Caledonia ,MI,49316,(616) 891-8447,2016-05-12,"Meat Processing, Meat Slaughter, Poultry Processing",
M40286+P40286,Calif. Qi Li's Braised Chicken LLC,44250 Old Warm Springs Blvd.,Fremont,CA,94518,(408) 568-0811,2012-02-27,"Meat Processing, Poultry Processing",
M48082+P48082+V48082,California Farms Meat Company Inc.,4451 South Downey Road,Vernon,CA,90058,(323) 581-3663,2014-02-12,"Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Processing - Rabbit",
M18995+P18995,"California Jerky Factory, Inc.",10415 Rush St,S. El Monte,CA,91733,(626) 417-8486,2007-05-23,"Meat Processing, Poultry Processing",
M45288+P45288+V45288,California Ranch Food Company Inc.,4481 South Downey Road,Vernon,CA,90058,(323) 581-3663,2015-05-05,"Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Processing - Rabbit",
M31834+P31834,California Sausage,2102 W. Chestnut Avenue,Santa Ana,CA,92703,(714) 657-7398,2012-03-09,"Meat Processing, Poultry Processing",
M9004+P9004+V9004,"California State University, Chico",311 Nicholas C. Schouten Lane,Chico,CA,95928,(916) 898-6028,1997-12-11,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M6775+V6775,Calihan Pork Processors,1 South St.,Peoria,IL,61602,(309) 674-9175,1989-02-21,"Certification - Export, Meat Processing, Meat Slaughter",
M688,"Callaway Packing, Inc.",663 West 4th Street,Delta,CO,81416,(970) 874-9743,2002-04-04,Meat Processing,Callaway Packing Inc.
M40432,Callicrate Cattle Co.,940 Rd.12,St. Francis,KS,67756,(785) 332-3344,2014-12-04,"Meat Processing, Meat Slaughter",
M1972+P17898+V1972,Calumet Diversified Meats Inc.,"10,000 80th Avenue",Pleasant Prairie,WI,53158,(262) 947-7200,2012-07-09,"Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry",Pleasant Prairie Packing; Pleasant Prairie Pork
M34241+P34241,Camacho's Food Processing,1311 Dayton Street Suite E,Salinas,CA,93901,(408) 991-2016,2013-08-22,"Meat Processing, Meat Slaughter",
M1930+P4009,Cambridge Packing Co,19-21 Foodmart Rd,Boston,MA,2118,(617) 269-6700,1996-03-08,"Meat Processing, Poultry Processing",
M21541+P21541,Camden Port Services Inc.,351 Eldrigdge Hill Road,Woodstown,NJ,8098,(856) 769-4141,2014-02-10,"Meat Processing, Poultry Processing",CPS Distribution Service
I191,"Camden Port Services, Inc.",430 N. Main Street,Woodstown,NJ,8098,(856) 769-4141,2008-10-03,Imported Product,
M1583+P18209,Cameco Inc.,100 Pine Street,Verona,NJ,7044,(201) 239-2700,1991-11-21,"Meat Processing, Poultry Processing",
M4357+P4357,Camellia General Provision Co.,1333 Genesee Street,Buffalo,NY,14211,(716) 893-5353,2006-09-05,"Meat Processing, Poultry Processing",EDDIE'S SAUSAGE COMPANY
M12603+P12603,Cameron's British Foods Inc,928 N.E. 24th Lane,Cape Coral,FL,33909,(813) 772-1554,1991-08-21,"Meat Processing, Poultry Processing",Cameron's Marker
M9887+P9887,"Camino Real Foods, Inc.",2638 E. Vernon Avenue,Vernon,CA,90058,(323) 585-6599,2006-11-03,"Meat Processing, Poultry Processing",
M4P+P49,Campbell Soup Company,Campbell Place,Camden,NJ,8103,(609) 342-4800,1993-10-07,"Meat Processing, Poultry Processing",
M4R+P8039,Campbell Soup Company,2120 NC Hwy 71 N,Maxton,NC,28364,(910) 844-5631,1999-09-07,"Meat Processing, Poultry Processing",
M18831+P18831,"Campbell Soup Supply Co., LLC",500 W. Edgerton Avenue,Milwaukee,WI,53207,(414) 482-1730,2010-12-08,"Meat Processing, Poultry Processing",
M4D+P4+V4D,Campbell Soup Supply Company,12-773 State Route 110,Napoleon,OH,43545,(419) 592-1010,2002-04-09,"Certification - Export, Meat Processing, Poultry Processing",
M4K+P13,Campbell Soup Supply Company L.L.C.,500 NW Loop 286,Paris,TX,75461,(903) 784-3341,2011-06-29,"Meat Processing, Poultry Processing",
M27297+P27297,Campo Lindo Farms,2390 S. E. 228th St.,Lathrop,MO,64465,(816) 740-3625,2003-03-19,"Poultry Processing, Poultry Slaughter",
M4058+P4058,"Campofrio Food Group - America, Inc.",1800 Ruffin Mill Road,South Chesterfield,VA,23834,(804) 520-7775,2012-07-18,"Meat Processing, Poultry Processing","Fiorucci Foods, Inc."
M2260T+P2260T,Campos Foods LLC,241 Elkins Road,Caryville,TN,37714,(423) 907-7627,2011-08-31,"Meat Processing, Poultry Processing",Tennoak Farms
M18193+P18193,"Cangialosi Specialty Sausage Company, Inc.",115 Landmark Drive,Greensboro,NC,27409,(336) 665-5775,2001-03-15,Meat Processing,Cangialosi Sausage; Southern Meats
M1437+P17272,"Canino's Sausage Company Co., Inc.",4414 Jason St.,Denver,CO,80211,(303) 455-4339,2000-08-02,Meat Processing,
V19767,CANNON COLD STORAGE,500 MARKET STREET,BRIDGEVILLE,DE,19933,(302) 337-5500,1997-01-09,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
M38436+P38436,Canteen,4808 Chesapeake Dr.,Charlotte,NC,28216,(704) 394-4177,2011-08-24,"Meat Processing, Poultry Processing",
M40088+P40088,Canteen/Covenco,3201 Fulling Mill Road,Middletown,PA,17057,(717) 939-1321,2011-06-13,"Meat Processing, Poultry Processing",
M34484+P34484,Canyon Foods Dist Inc,3310 Corona Ave,Phoenix,AZ,85040,(602) 924-3937,2008-04-18,"Meat Processing, Poultry Processing",James Gerard Foods
M45123+P45123,Cape Code Cafe Foods,969 Main Street,Brockton,MA,2301,(508) 583-9420,2015-05-20,"Meat Processing, Poultry Processing",
V20905,Capitol Cold Storage & Distribution,1440 Salem Industrial Drive,Salem,OR,97303,(503) 566-4971,1999-07-07,"Identification - Meat, Identification - Poultry",
M9990,Capitol Sausage & Provisions Inc,101 Reserve Road,Hartford,CT,6114,(860) 527-5510,2002-03-13,Meat Processing,
M6944+P6944+V6944,"Capitol Wholesale Meats, Inc.",8751 West 50th St.,McCook,IL,60525,(708) 485-4800,2012-12-27,"Meat Processing, Poultry Processing, Voluntary Processing - Exotic, Voluntary Processing - Meat","Fontanini Italian Meats and Sausage; G and J Foods, Inc."
M45716,Capri Restaurant,Capri Restaurant 313 E. State Street,Rockford,IL,61104,(815) 965-6341,2016-06-29,Meat Processing,
M2488+P830,"Captain Ken's Foods, Inc.",344 Robert Street South,St Paul,MN,55107,(651) 298-0071,1997-05-01,"Meat Processing, Poultry Processing",
M48202,"Captain's Fine Foods, LLC",333 16th Ave. South,St. Petersburg,FL,33701,(727) 822-0615,2016-10-03,Meat Processing,
M1112+P1112,Carando Gourmet Frozen Foods Corporation,175 Main Stret,Agawam,MA,1001,(413) 737-0183,1996-05-02,"Meat Processing, Poultry Processing",Carando Gourmet Foods; It Chefs Brand; Tintifood Products
M86F+P86F,Cargill,1301 Northpark Drive,Fort Worth,TX,76102,(817) 332-5807,2012-08-06,"Meat Processing, Poultry Processing",
V32069,Cargill Food Dist.,2350 E. 48th St.,Vernon,CA,90058,(323) 583-0801,2005-02-28,"Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry",
I41,Cargill Food Distribution,1145 Commerce Blvd,Logan,NJ,8085,(856) 241-2880,2015-03-17,Imported Product,
V33808,Cargill Food Distribution,1145 Coomerce Boulrvard,Logan,NJ,8085,(856) 241-2880,2009-09-16,"Certification - Export, Identification - Meat, Identification - Poultry",
V34498,Cargill Food Distribution,3205 E. 19th Ave.,Ft. Lauderdale,FL,33316,(954) 627-3873,2009-07-07,"Certification - Export, Identification - Meat, Identification - Poultry",
V45325,CARGILL FOOD DISTRIBUTION,13034 EXCELSIOR DR.,NORWALK,CA,90650,(909) 987-2147,2014-01-28,"Certification - Export, Identification - Meat, Identification - Poultry",
M34706,Cargill Fresno Grind,511 West North Avenue,Fresno,CA,93706,(559) 268-5586,2016-06-24,Meat Processing,Cargill Fresno Grind; Fresno Grind
G1215+V1215,"Cargill Kitchen Solutions, Inc.",206 West Fourth Street,Monticello,MN,55362,(763) 271-5600,2013-07-12,"Egg Product, Food Inspection",
G21377,"Cargill Kitchen Solutions, Inc.",1750 South Benjamin Avenue,Mason City,IA,50401,(641) 494-2200,2013-07-19,Egg Product,
M1804+P1804+G1804,"Cargill Kitchen Solutions, Inc.",3100 Bonanza Road,Lake Odessa,MI,48849,(616) 374-4545,2016-07-11,"Egg Product, Meat Processing, Poultry Processing",
M21377+P21377+V21377,"Cargill Kitchen Solutions, Inc.",1750 South Benjamin Avenue,Mason CIty,IA,50401,(641) 494-2200,2008-09-12,"Certification - Export, Meat Processing, Poultry Processing",
M5617+P5617,"Cargill Kitchen Solutions, Inc.",206 West 4th Street,Monticello,MN,55362,(763) 271-5600,2016-07-21,"Meat Processing, Poultry Processing",
M31913,Cargill Meat Solution Corporation,521 W. North Avenue,Fresno,CA,93706,(559) 268-5586,2016-01-21,Meat Processing,BPI; Cargill; Cargill Beef Packers; Cargill Meat Solutions; Cargill Taylor Beef; Fresno Meats; N'Genuity; West Coast Packers
M354,Cargill Meat Solution Corporation,3115 S. Fig Ave.,Fresno,CA,93706,(559) 268-5586,2016-01-21,"Meat Processing, Meat Slaughter",BPI; Cargill Beef Packers; Cargill Meat Solutions; Cargill Taylor Beef; Fresno Meats; West Coast Packers
M2133+P29+V2133,Cargill Meat Solutions,702 E. 13th Street,Albert Lea,MN,56007,(507) 377-2526,1997-05-01,"Certification - Export, Meat Processing, Poultry Processing",Cargill Value Added Meats; Schweigert Foods; Willow Brook Foods
M86A+P86A,Cargill Meat Solutions,1964 Old Dunbar Road,West Columbia,SC,29172,(706) 922-3900,2016-03-18,"Meat Processing, Poultry Processing",
M86C+P86C,Cargill Meat Solutions,1529 E. 23rd Street,Columbus,NE,68601,(402) 563-7700,2016-08-04,"Meat Processing, Poultry Processing",
M86J+P7117,Cargill Meat Solutions,2601 Industrial Road,Nebraska City,NE,68410,(402) 873-8404,2010-06-22,"Meat Processing, Poultry Processing",Cargill Meat Solutions; Cargill Turkey & Cooked Meats; Emmpak; Excel Corporation
M86K,Cargill Meat Solutions,3201 East Trail Street,Dodge City,KS,67801,(620) 225-2610,2016-12-13,"Meat Processing, Meat Slaughter",Excel Corporation
M86P,Cargill Meat Solutions,65 Green Mountain Road,Hazelton,PA,18201,(570) 384-8422,2011-02-16,Meat Processing,
M86R,Cargill Meat Solutions,1505 E. Burlington Avenue,Fort Morgan,CO,80701,(970) 867-8223,2016-04-07,"Meat Processing, Meat Slaughter",
M86X+P86X,Cargill Meat Solutions,300 West 1st Street North,Wichita,KS,67202,(316) 858-5100,2011-07-06,"Meat Processing, Poultry Processing",Excel Corporation
P18,CARGILL MEAT SOLUTIONS,135 Huffman Drive,Dayton,VA,22821,(540) 879-2521,2016-04-27,"Poultry Processing, Poultry Slaughter",CARGILL VALUE ADDED MEATS
M13289+P963,Cargill Meat Solutions Corp.,730 E. Randall Wobbe Lane,Springdale,AR,72764,(479) 751-6800,2014-03-11,"Poultry Processing, Poultry Slaughter",
M85M+P85M,Cargill Meat Solutions Corp.,3555 West Arrow St,Marshall,MO,65340,(316) 291-2500,2012-03-07,"Meat Processing, Poultry Processing",EXCEL Corporation
M86M,Cargill Meat Solutions Corp.,490 Road 9,Schuyler,NE,68661,(402) 352-5411,2011-11-21,"Meat Processing, Meat Slaughter",Excel Corporation
P961,Cargill Meat Solutions Corpora,1001 East Smith Street,California,MO,65018,(573) 796-2123,2016-06-16,"Poultry Processing, Poultry Slaughter",Cargill Turkey Products; Cargill Value Added Meats; Excel Corporation
M20654+P20654,Cargill Meat Solutions Corporation,234 S. Emmber Lane,Milwaukee,WI,53233,(414) 645-6500,2014-11-14,"Meat Processing, Poultry Processing",Cargill; Cargill Beef; Cargill Meat Solutions
M635+P635,Cargill Meat Solutions Corporation,2510 East Lake Shore Drive,Waco,TX,76705,(254) 412-3400,2015-12-09,"Meat Processing, Poultry Processing, Poultry Slaughter",Cargill Turkey and Cooked Meats
M86E,Cargill Meat Solutions Corporation,1530 US Highway 60,Friona,TX,79035,(806) 295-3201,2015-09-15,"Meat Processing, Meat Slaughter",Excel Corporation; MBPXL
M86G+P86G,Cargill Meat Solutions Corporation,33 Dart Road,Newnan,GA,30265,(770) 252-5000,2004-08-29,"Meat Processing, Poultry Processing",Excel Case Ready; Excel Corporation
M924A+P5758,Cargill Meat Solutions Corporation,4700 N. 132nd Street,Butler,WI,53007,(262) 781-2400,2012-06-07,"Meat Processing, Poultry Processing",Cargill Value Added Meats
V18A,Cargill Meat Solutions Corporation,5688 South Valley Pike,Mt. Crawford,VA,22841,(540) 437-8000,2008-06-30,"Certification - Export, Food Inspection, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
M9400,Cargill Meats Solutions Corporation,1252 Route 706,Wyalusing,PA,18853,(570) 746-3000,2010-10-28,"Meat Processing, Meat Slaughter",Cargill Regional Beef
M511+P7935,Cargill Value Added Meats,480 Co-op Drive,Timberville,VA,22853,(540) 896-7041,2010-11-09,"Meat Processing, Poultry Processing",Cargill Value Added Meat
M45390,"Cargill, Inc",566 N. Gilbert Street,Fullerton,CA,92833,(714) 449-6773,2014-07-23,Meat Processing,"Cargill, Incorporated"
V1067,Cargo International Consolidators Inc.,1951 N.W. 89 Place,Doral,FL,33172,(305) 591-8882,2011-11-30,"Certification - Export, Identification - Meat, Identification - Poultry",
M46849+P46849,Caribbean Breeze Frozen Foods Corp.,207 Hanover Street,Pemberton,NJ,8086,(609) 894-2207,2014-07-14,"Meat Processing, Poultry Processing",
M4008+P4008,Caribbean Food Delights,117 Route 303,Tappan,NY,10983,(845) 398-3000,1997-02-06,"Meat Processing, Poultry Processing",
M44065,Caribbean Snacks & More,100 State Road 192 km 0.5,Naguabo,PR,718,(787) 685-8794,2010-12-28,Meat Processing,
M1014B+P513B,Carl Buddig & Company,16615 S. Vincennes,South Holland,IL,60473,(708) 798-0900,2008-12-10,"Meat Processing, Poultry Processing","CBC, Inc"
M1014+P513,Carl Buddig and Co,50 W Taft Drive,South Holland,IL,60473,(708) 339-7300,2008-12-10,"Meat Processing, Poultry Processing","CBC, Inc"
V1014,Carl Buddig and Company,215 45th St.,Munster,IN,46321,(219) 924-3026,2014-04-18,"Certification - Export, Identification - Meat, Identification - Poultry",
M2166+P2166,Carl Streit & Son Co.,703 Atkins Avenue,Neptune,NJ,7753,(732) 775-0803,2013-05-29,"Meat Processing, Poultry Processing","Boardwalk Sausage, Inc; Streits's Best, Inc."
M9693,Carl Venezia Meats,1007 Germantown Pike,Plymouth Meeting,PA,19462,(610) 239-6750,2001-02-15,Meat Processing,
P5367,"Carl's Boned Chicken, Inc.",208 Food Terminal Plaza,New Haven,CT,6511,(203) 777-9048,2002-11-18,Poultry Processing,
M2606A+P2606A,Carla's Pasta Inc,50 Talbot Lane,South Windsor,CT,6071,(860) 436-4042,2002-06-13,"Meat Processing, Poultry Processing",
M18355+P18355,"Carle's Bratwurst, Inc.",1210 East Mansfiled St.,Bucyrus,OH,44820,(419) 562-7741,1994-11-03,"Meat Processing, Poultry Processing",
M27256+P27256,"Carlie C's Operation Center, Inc.",3695 US 301 NORTH,Dunn,NC,28334,(910) 892-4124,2015-12-03,"Meat Processing, Poultry Processing",Carlie C. McLamb Meats; Uncle Bob's Meats
M6006+P6006,Carlotta's Kitchen LLC,847 E 18th Street,Tucson,AZ,85719,(520) 903-1922,2015-08-17,"Meat Processing, Poultry Processing",
M21494+P21494,CCP Poultry & Meat Corp.,4755 East 49th Street,Vernon,CA,90058,(323) 833-6676,2016-12-14,"Meat Processing, Poultry Processing",
M8948+P8948+V8948,"Carlson Meat Processing, Inc.",105 N. 2nd Street,Grove City,MN,56243,(320) 857-2261,2016-05-17,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",
M1943+P7058,"Carlton Foods, Llc",880 Highway 46 East,New Braunfels,TX,78130,(830) 625-7583,2013-07-22,"Meat Processing, Poultry Processing",
M9228+P9228+V9228,Carlton Packing Company,10600 NW Westside Road,Carlton,OR,97111,(503) 852-7166,1995-11-02,"Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",Carlton Farms
M4326,Carnegie Deli Inc.,605 Washington Avenue,Carlstadt,NJ,7072,(201) 507-5557,2016-04-04,Meat Processing,
M20103A+P20103A,Carnival Brands,535 S. Clark St.,New Orleans,LA,70119,(504) 262-0412,2016-09-23,"Meat Processing, Poultry Processing",
M45742,Carnivore Market,735 Columbia Avenue,Franklin,TN,37064,(615) 614-3134,2015-11-19,Meat Processing,
V27506A+V27506,Carnivore Meat Company LLC,2878 Ontario Road,Green Bay,WI,54311,(920) 863-7003,2013-01-10,Animal Foods Inspection,
M20029+P20029,"Carolina Catering dba Sky Caterers, Inc.","Sector Central Road #150 Muniz Aereal Base, C.A.F Building",Carolina,PR,979,(787) 253-0129,2016-10-07,"Meat Processing, Poultry Processing","Sky Caterers, Inc."
M6645+P6645,Carolina Fresh Foods,159 N. Chase St.,Florence,SC,29501,(843) 667-0096,2013-11-05,"Meat Processing, Poultry Processing",Carolina Fresh
M19836+P19836,"Carolina Packers, Inc.",2999 South Bright Leaf Blvd.,Smithfield,NC,27577,(919) 934-2181,2011-05-16,Meat Processing,
M242+P6685,"Carolina Pride Foods, Inc.",One Packer Ave.,Greenwood,SC,29646,(864) 229-5611,2014-11-03,"Meat Processing, Poultry Processing",
M45008+P45008,Carrington Foods Inc,200 Jacintoport Blvd,Saraland,AL,36571,(251) 676-9700,2012-11-16,Poultry Processing,
M20790+P20790,Carso's Pasta Company,5530 - 208th Street SW,Lynnwood,WA,98036,(425) 670-1302,1999-08-25,"Meat Processing, Poultry Processing",
M33923+P33923,Carters Creative Catering,167 South Madison,Loveland,CO,80537,(970) 461-3877,2016-06-23,"Meat Processing, Poultry Processing",
M34416+P34416+V34416,"Casa Blanca Santa Fe, LLC",39 Eliza Rd,Santa Fe,NM,87505,(505) 930-0418,2013-01-07,"Meat Processing, Voluntary Processing - Exotic",
M20477+P20477,Casa Di Carfagna,3518 Johnny Appleseed Ln.,Columbus,OH,43231,(614) 469-1103,2012-11-05,"Meat Processing, Poultry Processing",
M39941+P39941,Casanova Market Inc.,422 Great East Neck Road,West Babylon,NY,11704,(631) 789-5130,2009-04-20,"Meat Processing, Poultry Processing",
M34664,Cascade Food Corp.,8168 Bob Hall Road,Lynden,WA,98264,(360) 354-2515,2014-11-20,"Meat Processing, Meat Slaughter",Keizer Meats
M7650+P7650+V7650,Cascade Wholesale Meats,2400 9th Ave. N.,Great Falls,MT,59401,(406) 452-8513,1996-01-29,"Meat Processing, Poultry Processing, Voluntary Processing - Poultry",
M17428+P17428,"Cascioppo Brothers Meats, Inc.",2364 NW 80th Street,Seattle,WA,98117,(206) 784-6121,2009-06-03,"Meat Processing, Poultry Processing",Fresh Life Foods LLC
P19128,"Case Farms of North Carolina, Inc.",330 Pecan Road,Dudley,NC,28333,(919) 735-5010,2003-03-05,"Poultry Processing, Poultry Slaughter",Case Farms
P15724,"Case Farms of Ohio, Inc",1818 County Road 160 PO Box 185,Winesburg,OH,44690,(330) 359-7141,2011-03-21,"Poultry Processing, Poultry Slaughter",Poultry Processing; Walnut Creek
P44826,"Case Farms Processing, Inc",1925 30th St. NE,Canton,OH,44705,(234) 521-7301,2012-03-16,"Poultry Processing, Poultry Slaughter",
P419,"Case Farms Processing, Inc.",121 Rand Street,Morganton,NC,28655,(828) 438-6900,2009-11-23,"Poultry Processing, Poultry Slaughter",
M185,Case Pork Roll Company Inc.,644 Washington Street P.O. Box 33019,Trenton,NJ,8629,(609) 396-8171,2009-05-07,Meat Processing,Cloverdell Packing Company
M10822+P10822,"Casi di Pasta, Inc.",210 Albemarle St.,Baltimore,MD,21202,(410) 539-5383,2008-11-13,"Meat Processing, Poultry Processing",
M3384+V3384,Casing Associates LLC,1120 Close Avenue,Bronx,NY,10472,(718) 842-7151,2011-03-22,"Certification - Export, Identification - Meat",
M7611+P7611+V7611,Casselton Cold Storage Inc.,52 Langer Ave. North,Casselton,ND,58012,(701) 347-4781,2012-12-06,"Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat","CC Meats, Inc. d/b/a Casselton Cold Storage"
M8477,"Cassinelli Food Products, Inc.",31-12 23rd Avenue,Astoria,NY,11105,(718) 274-4881,2015-04-02,Meat Processing,
V45194,Castelo Cold Storage LLC,10321 Keystone Drive,Pharr,TX,78577,(956) 223-4696,2013-05-14,"Certification - Export, Identification - Meat, Identification - Poultry",
M45223+V45223,Castillo Brothers Enterprises Inc.,4269 W. Annlurie (42nd Pl),Chicago,IL,60632,(773) 927-8675,2013-05-16,"Certification - Export, Identification - Meat, Meat Processing",
M7697+P7697+V7697,"Castle Rock Meats, Inc.",707 E. 50th Avenue,Denver,CO,80216,(303) 292-0855,2002-05-29,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",
M21094+P21094,"Castro Foods Wholesale, Inc",4647 South Archer Avenue,Chicago,IL,60632,(773) 376-8054,2016-03-09,"Meat Processing, Poultry Processing","La Guadalupana Wholesale Co., Inc."
